Time (s),y (m),vy (m/s),ay (m/s^2)
0,0.382,1.7,-1.18182
0.005,0.3905,1.7,-1.72727
0.01,0.399,1.7,-2.27273
0.015,0.407,1.65,-2
0.02,0.415,1.6,-1.72727
0.025,0.423,1.6,-1.86364
0.03,0.431,1.6,-2
0.035,0.439,1.6,-2.04545
0.04,0.447,1.6,-2.09091
0.045,0.455,1.6,-2.04545
0.05,0.463,1.6,-2
0.055,0.4705,1.55,-2.09091
0.06,0.478,1.5,-2.18182
0.065,0.486,1.55,-1.90909
0.07,0.494,1.6,-1.63636
0.075,0.5015,1.55,-1.77273
0.08,0.509,1.5,-1.90909
0.085,0.5165,1.5,-2.18182
0.09,0.524,1.5,-2.45455
0.095,0.5315,1.5,-2.36364
0.1,0.539,1.5,-2.27273
0.105,0.546,1.45,-2.31818
0.11,0.553,1.4,-2.36364
0.115,0.5605,1.45,-2.31818
0.12,0.568,1.5,-2.27273
0.125,0.575,1.45,-2.13636
0.13,0.582,1.4,-2
0.135,0.5885,1.35,-2
0.14,0.595,1.3,-2
0.145,0.602,1.35,-2.13636
0.15,0.609,1.4,-2.27273
0.155,0.6155,1.35,-2.27273
0.16,0.622,1.3,-2.27273
0.165,0.629,1.35,-1.95455
0.17,0.636,1.4,-1.63636
0.175,0.6425,1.35,-1.72727
0.18,0.649,1.3,-1.81818
0.185,0.6555,1.3,-1.77273
0.19,0.662,1.3,-1.72727
0.195,0.668,1.25,-2.09091
0.2,0.674,1.2,-2.45455
0.205,0.68,1.2,-2.22727
0.21,0.686,1.2,-2
0.215,0.693,1.3,-2.18182
0.22,0.7,1.4,-2.36364
0.225,0.7055,1.25,-2.18182
0.23,0.711,1.1,-2
0.235,0.717,1.15,-2.18182
0.24,0.723,1.2,-2.36364
0.245,0.7285,1.15,-2.40909
0.25,0.734,1.1,-2.45455
0.255,0.74,1.15,-2.63636
0.26,0.746,1.2,-2.81818
0.265,0.7515,1.15,-2.90909
0.27,0.757,1.1,-3
0.275,0.7625,1.1,-2.45455
0.28,0.768,1.1,-1.90909
0.285,0.773,1.05,-2
0.29,0.778,1,-2.09091
0.295,0.783,1,-2.09091
0.3,0.788,1,-2.09091
0.305,0.793,1,-2.22727
0.31,0.798,1,-2.36364
0.315,0.803,1,-1.90909
0.32,0.808,1,-1.45455
0.325,0.813,1,-1.63636
0.33,0.818,1,-1.81818
0.335,0.823,1,-1.63636
0.34,0.828,1,-1.45455
0.345,0.8325,0.95,-1.68182
0.35,0.837,0.9,-1.90909
0.355,0.8415,0.9,-2.04545
0.36,0.846,0.9,-2.18182
0.365,0.851,0.95,-2.22727
0.37,0.856,1,-2.27273
0.375,0.86,0.9,-2.22727
0.38,0.864,0.8,-2.18182
0.385,0.8685,0.85,-2.27273
0.39,0.873,0.9,-2.36364
0.395,0.877,0.85,-2.09091
0.4,0.881,0.8,-1.81818
0.405,0.885,0.8,-1.95455
0.41,0.889,0.8,-2.09091
0.415,0.893,0.8,-2.13636
0.42,0.897,0.8,-2.18182
0.425,0.901,0.8,-2.09091
0.43,0.905,0.8,-2
0.435,0.9085,0.75,-2.04545
0.44,0.912,0.7,-2.09091
0.445,0.916,0.75,-2.04545
0.45,0.92,0.8,-2
0.455,0.9235,0.75,-2.09091
0.46,0.927,0.7,-2.18182
0.465,0.9305,0.7,-2.18182
0.47,0.934,0.7,-2.18182
0.475,0.937,0.65,-2.31818
0.48,0.94,0.6,-2.45455
0.485,0.9435,0.65,-2.22727
0.49,0.947,0.7,-2
0.495,0.95,0.65,-2.18182
0.5,0.953,0.6,-2.36364
0.505,0.956,0.6,-2.18182
0.51,0.959,0.6,-2
0.515,0.962,0.6,-2.18182
0.52,0.965,0.6,-2.36364
0.525,0.9675,0.55,-2.18182
0.53,0.97,0.5,-2
0.535,0.973,0.55,-2.22727
0.54,0.976,0.6,-2.45455
0.545,0.9785,0.55,-2.31818
0.55,0.981,0.5,-2.18182
0.555,0.9835,0.5,-2.18182
0.56,0.986,0.5,-2.18182
0.565,0.988,0.45,-2.09091
0.57,0.99,0.4,-2
0.575,0.9925,0.45,-2.04545
0.58,0.995,0.5,-2.09091
0.585,0.997,0.45,-2.27273
0.59,0.999,0.4,-2.45455
0.595,1.001,0.4,-2.27273
0.6,1.003,0.4,-2.09091
0.605,1.005,0.4,-2.04545
0.61,1.007,0.4,-2
0.615,1.009,0.4,-1.86364
0.62,1.011,0.4,-1.72727
0.625,1.0125,0.35,-2
0.63,1.014,0.3,-2.27273
0.635,1.0155,0.3,-2.18182
0.64,1.017,0.3,-2.09091
0.645,1.0185,0.3,-2.13636
0.65,1.02,0.3,-2.18182
0.655,1.0215,0.3,-2.13636
0.66,1.023,0.3,-2.09091
0.665,1.0245,0.3,-2.18182
0.67,1.026,0.3,-2.27273
0.675,1.027,0.25,-2.22727
0.68,1.028,0.2,-2.18182
0.685,1.029,0.2,-2.04545
0.69,1.03,0.2,-1.90909
0.695,1.031,0.2,-2.18182
0.7,1.032,0.2,-2.45455
0.705,1.033,0.2,-2.36364
0.71,1.034,0.2,-2.27273
0.715,1.0345,0.15,-2.09091
0.72,1.035,0.1,-1.90909
0.725,1.0355,0.1,-1.86364
0.73,1.036,0.1,-1.81818
0.735,1.037,0.15,-1.90909
0.74,1.038,0.2,-2
0.745,1.038,0.1,-2
0.75,1.038,0,-2
0.755,1.0385,0.05,-1.90909
0.76,1.039,0.1,-1.81818
0.765,1.0395,0.1,-1.63636
0.77,1.04,0.1,-1.45455
0.775,1.04,0.05,-1.68182
0.78,1.04,0,-1.90909
0.785,1.04,0,-2.04545
0.79,1.04,0,-2.18182
0.795,1.04,0,-1.95455
0.8,1.04,0,-1.72727
0.805,1.04,0,-1.90909
0.81,1.04,0,-2.09091
0.815,1.04,0,-1.95455
0.82,1.04,0,-1.81818
0.825,1.0395,-0.05,-1.81818
0.83,1.039,-0.1,-1.81818
0.835,1.0385,-0.1,-1.95455
0.84,1.038,-0.1,-2.09091
0.845,1.0375,-0.1,-2.13636
0.85,1.037,-0.1,-2.18182
0.855,1.0365,-0.1,-2.13636
0.86,1.036,-0.1,-2.09091
0.865,1.0355,-0.1,-1.95455
0.87,1.035,-0.1,-1.81818
0.875,1.034,-0.15,-1.59091
0.88,1.033,-0.2,-1.36364
0.885,1.032,-0.2,-1.54545
0.89,1.031,-0.2,-1.72727
0.895,1.03,-0.2,-1.59091
0.9,1.029,-0.2,-1.45455
0.905,1.028,-0.2,-1.5
0.91,1.027,-0.2,-1.54545
0.915,1.026,-0.2,-1.5
0.92,1.025,-0.2,-1.45455
0.925,1.024,-0.2,-1.31818
0.93,1.023,-0.2,-1.18182
0.935,1.0215,-0.25,-1.45455
0.94,1.02,-0.3,-1.72727
0.945,1.019,-0.25,-1.68182
0.95,1.018,-0.2,-1.63636
0.955,1.0165,-0.25,-1.77273
0.96,1.015,-0.3,-1.90909
0.965,1.0135,-0.3,-1.72727
0.97,1.012,-0.3,-1.54545
0.975,1.0105,-0.3,-1.54545
0.98,1.009,-0.3,-1.54545
0.985,1.007,-0.35,-1.45455
0.99,1.005,-0.4,-1.36364
0.995,1.0035,-0.35,-1.68182
1,1.002,-0.3,-2
1.005,1,-0.35,-1.72727
1.01,0.998,-0.4,-1.45455
1.015,0.9965,-0.35,-1.59091
1.02,0.995,-0.3,-1.72727
1.025,0.993,-0.35,-1.54545
1.03,0.991,-0.4,-1.36364
1.035,0.989,-0.4,-1.59091
1.04,0.987,-0.4,-1.81818
1.045,0.9845,-0.45,-1.72727
1.05,0.982,-0.5,-1.63636
1.055,0.98,-0.45,-1.72727
1.06,0.978,-0.4,-1.81818
1.065,0.9755,-0.45,-1.81818
1.07,0.973,-0.5,-1.81818
1.075,0.971,-0.45,-1.72727
1.08,0.969,-0.4,-1.63636
1.085,0.966,-0.5,-1.45455
1.09,0.963,-0.6,-1.27273
1.095,0.961,-0.5,-1.27273
1.1,0.959,-0.4,-1.27273
1.105,0.956,-0.5,-1.45455
1.11,0.953,-0.6,-1.63636
1.115,0.9505,-0.55,-1.72727
1.12,0.948,-0.5,-1.81818
1.125,0.945,-0.55,-1.81818
1.13,0.942,-0.6,-1.81818
1.135,0.9395,-0.55,-1.72727
1.14,0.937,-0.5,-1.63636
1.145,0.934,-0.55,-1.72727
1.15,0.931,-0.6,-1.81818
1.155,0.928,-0.6,-1.59091
1.16,0.925,-0.6,-1.36364
1.165,0.9215,-0.65,-1.54545
1.17,0.918,-0.7,-1.72727
1.175,0.915,-0.65,-1.59091
1.18,0.912,-0.6,-1.45455
1.185,0.9085,-0.65,-1.72727
1.19,0.905,-0.7,-2
1.195,0.902,-0.65,-1.68182
1.2,0.899,-0.6,-1.36364
1.205,0.8955,-0.65,-1.45455
1.21,0.892,-0.7,-1.54545
1.215,0.8885,-0.7,-1.54545
1.22,0.885,-0.7,-1.54545
1.225,0.8815,-0.7,-1.72727
1.23,0.878,-0.7,-1.90909
1.235,0.874,-0.75,-1.77273
1.24,0.87,-0.8,-1.63636
1.245,0.8665,-0.75,-1.68182
1.25,0.863,-0.7,-1.72727
1.255,0.859,-0.75,-1.45455
1.26,0.855,-0.8,-1.18182
1.265,0.851,-0.8,-1.31818
1.27,0.847,-0.8,-1.45455
1.275,0.843,-0.8,-1.5
1.28,0.839,-0.8,-1.54545
1.285,0.835,-0.8,-1.5
1.29,0.831,-0.8,-1.45455
1.295,0.827,-0.8,-1.59091
1.3,0.823,-0.8,-1.72727
1.305,0.819,-0.8,-1.54545
1.31,0.815,-0.8,-1.36364
1.315,0.8105,-0.85,-1.36364
1.32,0.806,-0.9,-1.36364
1.325,0.8015,-0.9,-1.54545
1.33,0.797,-0.9,-1.72727
1.335,0.7925,-0.9,-1.81818
1.34,0.788,-0.9,-1.90909
1.345,0.7835,-0.9,-1.90909
1.35,0.779,-0.9,-1.90909
1.355,0.7745,-0.9,-1.81818
1.36,0.77,-0.9,-1.72727
1.365,0.7655,-0.9,-1.54545
1.37,0.761,-0.9,-1.36364
1.375,0.756,-0.95,-1.36364
1.38,0.751,-1,-1.36364
1.385,0.746,-1,-1.54545
1.39,0.741,-1,-1.72727
1.395,0.736,-1,-1.59091
1.4,0.731,-1,-1.45455
1.405,0.726,-1,-1.5
1.41,0.721,-1,-1.54545
1.415,0.716,-1,-1.5
1.42,0.711,-1,-1.45455
1.425,0.706,-1,-1.31818
1.43,0.701,-1,-1.18182
1.435,0.6955,-1.05,-1.22727
1.44,0.69,-1.1,-1.27273
1.445,0.685,-1.05,-1.27273
1.45,0.68,-1,-1.27273
1.455,0.6745,-1.05,-1.45455
1.46,0.669,-1.1,-1.63636
1.465,0.6635,-1.1,-1.72727
1.47,0.658,-1.1,-1.81818
1.475,0.6525,-1.1,-1.81818
1.48,0.647,-1.1,-1.81818
1.485,0.6415,-1.1,-1.72727
1.49,0.636,-1.1,-1.63636
1.495,0.6305,-1.1,-1.72727
1.5,0.625,-1.1,-1.81818
1.505,0.619,-1.15,-1.59091
1.51,0.613,-1.2,-1.36364
1.515,0.607,-1.2,-1.31818
1.52,0.601,-1.2,-1.27273
1.525,0.595,-1.2,-1.40909
1.53,0.589,-1.2,-1.54545
1.535,0.583,-1.2,-1.59091
1.54,0.577,-1.2,-1.63636
1.545,0.571,-1.2,-1.59091
1.55,0.565,-1.2,-1.54545
1.555,0.559,-1.2,-1.40909
1.56,0.553,-1.2,-1.27273
1.565,0.547,-1.2,-1.31818
1.57,0.541,-1.2,-1.36364
1.575,0.5345,-1.25,-1.36364
1.58,0.528,-1.3,-1.36364
1.585,0.5215,-1.3,-1.54545
1.59,0.515,-1.3,-1.72727
1.595,0.5085,-1.3,-1.81818
1.6,0.502,-1.3,-1.90909
1.605,0.4955,-1.3,-1.90909
1.61,0.489,-1.3,-1.90909
1.615,0.4825,-1.3,-1.81818
1.62,0.476,-1.3,-1.72727
1.625,0.4695,-1.3,-1.54545
1.63,0.463,-1.3,-1.36364
1.635,0.456,-1.35,-1.36364
1.64,0.449,-1.4,-1.36364
1.645,0.442,-1.4,-1.54545
1.65,0.435,-1.4,-1.72727
1.655,0.428,-1.4,-1.59091
1.66,0.421,-1.4,-1.45455
1.665,0.414,-1.4,-1.5
1.67,0.407,-1.4,-1.54545
1.675,0.4,-1.4,-1.5
1.68,0.393,-1.4,-1.45455
1.685,0.386,-1.4,-1.31818
1.69,0.379,-1.4,-1.18182
1.695,0.3715,-1.45,-1.45455
1.7,0.364,-1.5,-1.72727
1.705,0.357,-1.45,-1.68182
1.71,0.35,-1.4,-1.63636
1.715,0.3425,-1.45,-1.54545
1.72,0.335,-1.5,-1.45455
1.725,0.3275,-1.5,-1.54545
1.73,0.32,-1.5,-1.63636
1.735,0.3125,-1.5,-1.63636
1.74,0.305,-1.5,-1.63636
1.745,0.297,-1.55,-1.54545
1.75,0.289,-1.6,-1.45455
1.755,0.2815,-1.55,-1.54545
1.76,0.274,-1.5,-1.63636
1.765,0.2665,-1.5,-1.40909
1.77,0.259,-1.5,-1.18182
1.775,0.251,-1.55,-1.13636
1.78,0.243,-1.6,-1.09091
1.785,0.235,-1.6,-1.22727
1.79,0.227,-1.6,-1.36364
